Municipio,Codigo_Postal,Poblacion,Superficie,Densidad_población,Media_paro,Afiliados_SS,Tasa_paro,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
ABAJAS,9001,29,35.07,0.82,13.5,47,28.72,2.99,2,0,0,20323.28
ADRADA DE HAZA,9003,197,10.28,19.16,10.75,45,23.89,17.85,7,0,1,20323.28
AGUAS CANDIDAS,9006,56,17.95,3.11,1.5,1,100,0,4,0,6,20323.27
AGUILAR DE BUREBA,9007,52,9.45,5.5,5.75,7,82.14,0,0,0,1,20323.27
ALBILLOS,9009,221,12.36,17.88,12.08,41,29.46,7.66,1,8,2,20323.33
ALCOCERO DE MOLA,9010,33,8.33,3.96,2.25,1,100,0,1,0,4,20323.27
ALFOZ DE BRICIA,9011,73,52.14,1.4,3.16,9,35.11,8.34,7,0,4,20323.28
ALFOZ DE SANTA GADEA,9012,105,34.33,3.05,7.66,21,36.48,1.89,4,48,-1,20323.6
ALTABLE,9013,47,8.22,5.71,1.58,8,19.75,8.23,0,0,2,20323.28
"ALTOS, LOS",9014,191,139.85,1.36,6.08,48,12.67,11.38,6,0,-9,20323.28
AMEYUGO,9016,116,12.51,9.27,1.66,82,2.02,23.62,2,0,5,20323.28
ANGUIX,9017,158,13.44,11.75,2.91,76,3.83,28.36,4,0,9,20323.28
ARANDA DE DUERO,9018,33084,127.28,259.93,2218.91,14166,15.66,854,499,1669,81,21927
ARANDILLA,9019,158,26.68,5.92,1.75,29,6.03,14.69,1,0,-2,20323.28
ARAUZO DE MIEL,9020,288,57.1,5.04,15.16,178,8.52,18.61,6,0,-3,20323.28
ARAUZO DE SALCE,9021,47,18.5,2.54,1.08,1,100,0,1,0,2,20323.27
ARAUZO DE TORRE,9022,71,13.59,5.22,1.5,6,25,7.66,1,0,4,20323.28
ARCOS,9023,1816,31.44,57.76,60.33,203,29.72,36,27,0,6,23602
ARENILLAS DE RIOPISUERGA,9024,176,27.99,6.28,17.33,29,59.76,0,2,0,6,20323.27
ARIJA,9025,118,7.02,16.8,2.25,41,5.49,28.84,12,15,-7,20323.39
ARLANZON,9026,419,77.74,5.38,13.33,57,23.39,10.43,4,0,1,20323.28
ARRAYA DE OCA,9027,46,12.25,3.75,4.66,6,77.67,0,2,0,-1,20323.27
ATAPUERCA,9029,182,24.75,7.35,6.91,50,13.82,15.16,2,0,3,20323.28
"AUSINES, LOS",9030,131,41.68,3.14,2.66,20,13.3,19.24,5,0,5,20323.28
AVELLANOSA DE MUÑO,9032,103,36.89,2.79,2.83,22,12.86,17.47,5,0,2,20323.28
BAHABON DE ESGUEVA,9033,80,21.39,3.74,4.08,15,27.2,4.72,1,0,2,20323.28
"BALBASES, LOS",9034,321,64.37,4.98,8.66,61,14.2,16.75,4,0,3,20323.28
BAÑOS DE VALDEARADOS,9035,322,36.52,8.81,11.66,40,29.15,17.2,2,0,19,20323.28
BAÑUELOS DE BUREBA,9036,31,15.44,2,0,6,0,19.5,1,0,2,20323.28
BARBADILLO DE HERREROS,9037,112,64.16,1.74,1,11,9.09,13.64,2,0,-1,20323.28
BARBADILLO DEL MERCADO,9038,144,15.19,9.47,5.33,52,10.25,15.83,3,0,-2,20323.28
