Municipio,Codigo_Postal,Tasa_paro,Densidad_población,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
ABAJAS,9001,28.72,0.82,,2,0,0,
ADRADA DE HAZA,9003,23.89,19.16,,7,0,1,
AGUAS CANDIDAS,9006,100,3.11,,4,0,6,
AGUILAR DE BUREBA,9007,82.14,5.5,,0,0,1,
ALBILLOS,9009,29.46,17.88,,1,8,2,
ALCOCERO DE MOLA,9010,100,3.96,,1,0,4,
ALFOZ DE BRICIA,9011,35.11,1.4,,7,0,4,
ALFOZ DE SANTA GADEA,9012,36.48,3.05,,4,48,-1,
ALTABLE,9013,19.75,5.71,,0,0,2,
"ALTOS, LOS",9014,12.67,1.36,,6,0,-9,
AMEYUGO,9016,2.02,9.27,,2,0,5,
ANGUIX,9017,3.83,11.75,,4,0,9,
ARANDA DE DUERO,9018,15.66,259.93,854,499,1669,81,21927
ARANDILLA,9019,6.03,5.92,,1,0,-2,
ARAUZO DE MIEL,9020,8.52,5.04,,6,0,-3,
ARAUZO DE SALCE,9021,100,2.54,,1,0,2,
ARAUZO DE TORRE,9022,25,5.22,,1,0,4,
ARCOS,9023,29.72,57.76,36,27,0,6,23602
ARENILLAS DE RIOPISUERGA,9024,59.76,6.28,,2,0,6,
ARIJA,9025,5.49,16.8,,12,15,-7,
ARLANZON,9026,23.39,5.38,,4,0,1,
ARRAYA DE OCA,9027,77.67,3.75,,2,0,-1,
ATAPUERCA,9029,13.82,7.35,,2,0,3,
"AUSINES, LOS",9030,13.3,3.14,,5,0,5,
AVELLANOSA DE MUÑO,9032,12.86,2.79,,5,0,2,
BAHABON DE ESGUEVA,9033,27.2,3.74,,1,0,2,
"BALBASES, LOS",9034,14.2,4.98,,4,0,3,
BAÑOS DE VALDEARADOS,9035,29.15,8.81,,2,0,19,
BAÑUELOS DE BUREBA,9036,0,2,,1,0,2,
BARBADILLO DE HERREROS,9037,9.09,1.74,,2,0,-1,
BARBADILLO DEL MERCADO,9038,10.25,9.47,,3,0,-2,
BARBADILLO DEL PEZ,9039,20.33,3.13,,2,0,3,
BARRIO DE MUÑO,9041,0,8.24,,0,0,0,
"BARRIOS DE BUREBA, LOS",9043,22.73,3.98,,3,0,6,
BARRIOS DE COLINA,9044,30.93,2.17,,0,0,5,
BASCONCILLOS DEL TOZO,9045,10.18,2.41,,6,0,5,
BASCUÑANA,9046,0,2.7,,4,0,0,
BELBIMBRE,9047,4.13,5.57,,0,0,-1,
BELORADO,9048,18.11,13.14,64,27,0,52,17856
BERBERANA,9050,14.5,1.6,,5,0,1,
BERLANGAS DE ROA,9051,54.61,11.45,,3,0,0,
BERZOSA DE BUREBA,9052,100,3.44,,0,0,1,
BOZOO,9054,34.67,3.01,,2,52,0,
BRAZACORTA,9055,4.71,2.41,,4,0,1,
BRIVIESCA,9056,25.62,79.61,168,126,0,-55,18728
BUGEDO,9057,11.63,19.73,,1,0,5,
BUNIEL,9058,15.59,45.55,,187,0,0,
BURGOS,9059,11.76,1625.73,6387,2441,188346,-210,23611
BUSTO DE BUREBA,9060,11.25,7.43,,0,78,7,
CABAÑES DE ESGUEVA,9061,3.71,6.24,,0,0,0,
CABEZON DE LA SIERRA,9062,0,2.01,,2,0,1,
CAVIA,9063,9.12,19.1,,2,17,-6,
CALERUEGA,9064,10.8,8.79,,9,0,-6,
CAMPILLO DE ARANDA,9065,33.87,7.06,,1,0,13,
CAMPOLARA,9066,100,4.22,,1,0,-1,
CANICOSA DE LA SIERRA,9067,29.49,14.76,,1,0,-4,
CANTABRANA,9068,100,7.96,,5,0,0,
CARAZO,9070,4.17,1.24,,2,0,1,
CARCEDO DE BUREBA,9071,3.33,1.05,,2,0,-1,
CARCEDO DE BURGOS,9072,26.15,17.44,,6,0,25,
CARDEÑADIJO,9073,47.4,153.52,53,18,25,-3,22348
CARDEÑAJIMENO,9074,16.48,96.39,37,12,0,32,28041
CARDEÑUELA RIOPICO,9075,34.67,9.63,,2,0,2,
CARRIAS,9076,50,1.88,,0,0,1,
CASCAJARES DE BUREBA,9077,0,3.66,,0,0,-2,
CASCAJARES DE LA SIERRA,9078,7.69,4.69,,1,0,-1,
CASTELLANOS DE CASTRO,9079,3.67,4.93,,0,0,1,
CASTILDELGADO,9082,21.07,6.66,,1,0,3,
CASTIL DE PEONES,9083,33,1.78,,0,0,3,
CASTRILLO DE LA REINA,9084,42.9,11.97,,3,0,2,
CASTRILLO DE LA VEGA,9085,31.41,24.52,,7,0,-8,
CASTRILLO DEL VAL,9086,10.02,36.11,,13,0,19,
CASTRILLO DE RIOPISUERGA,9088,0,3.26,,0,0,-2,
CASTRILLO MOTA DE JUDIOS,9090,100,2.22,,1,0,1,
CASTROJERIZ,9091,11.67,5.57,,17,0,5,
CAYUELA,9093,19.32,14.1,,4,0,-1,
CEBRECOS,9094,15.43,2.31,,0,0,0,
CELADA DEL CAMINO,9095,32.5,8.11,,1,0,3,
CEREZO DE RIO TIRON,9098,7.19,8.35,,5,0,-14,
CERRATON DE JUARROS,9100,35.38,3.2,,1,0,0,
CIADONCHA,9101,11.54,5.1,,1,0,1,
CILLAPERLATA,9102,91.67,2.08,,2,0,2,
CILLERUELO DE ABAJO,9103,6.16,4.52,,4,0,-7,
CILLERUELO DE ARRIBA,9104,8,2.21,,2,0,1,
CIRUELOS DE CERVERA,9105,4.71,2.74,,0,0,-2,
COGOLLOS,9108,30.95,18.94,,14,0,20,
CONDADO DE TREVIÑO,9109,24.07,5.43,23,49,0,43,23136
CONTRERAS,9110,89.5,2.12,,0,0,2,
CORUÑA DEL CONDE,9112,8.31,3.05,,1,0,0,
COVARRUBIAS,9113,12.95,13.12,,13,7,6,
CUBILLO DEL CAMPO,9114,23.11,7.25,,1,0,-3,
CUBO DE BUREBA,9115,28,10.71,,1,0,5,
"CUEVA DE ROA, LA",9117,45.19,8.9,,2,0,-2,
CUEVAS DE SAN CLEMENTE,9119,25,3.16,,2,0,1,
ENCIO,9120,0,2.29,,0,0,2,
ESPINOSA DE CERVERA,9122,0,3.03,,1,8,-6,
ESPINOSA DEL CAMINO,9123,83,6.63,,0,0,-2,
ESPINOSA DE LOS MONTEROS,9124,23.43,12.17,52,24,139,-3,17048
ESTEPAR,9125,14.99,5.88,,7,0,30,
FONTIOSO,9127,41.67,2.01,,0,0,-2,
FRANDOVINEZ,9128,7.67,11.3,,1,0,4,
FRESNEDA DE LA SIERRA TIRON,9129,80.33,1.53,,0,0,1,
FRESNEÑA,9130,3.27,4.92,,3,0,1,
FRESNILLO DE LAS DUEÑAS,9131,14.59,50.76,,1,0,-9,
FRESNO DE RIO TIRON,9132,17.28,18.38,,1,0,-4,
FRESNO DE RODILLA,9133,42.86,3.78,,2,0,2,
FRIAS,9134,16.47,9.15,,10,0,-1,
FUENTEBUREBA,9135,9.67,4.4,,2,0,0,
FUENTECEN,9136,12.15,13.07,,7,0,-1,
FUENTELCESPED,9137,35.71,11.46,,7,0,-2,
FUENTELISENDO,9138,30.36,15.2,,0,0,11,
FUENTEMOLINOS,9139,33.27,7.72,,3,0,-4,
FUENTENEBRO,9140,38.64,3.84,,1,0,1,
FUENTESPINA,9141,12.59,64,,6,0,14,
GALBARROS,9143,8.2,0.93,,0,0,0,
"GALLEGA, LA",9144,66.5,2.53,,0,0,1,
GRIJALBA,9148,14.08,5.62,,1,0,-2,
GRISALEÑA,9149,11.25,3.97,,0,0,-5,
GUMIEL DE IZAN,9151,12.11,7.36,,4,0,22,
GUMIEL DE MERCADO,9152,16.53,6.48,,5,0,12,
HACINAS,9154,21.59,19.11,,2,0,4,
HAZA,9155,0,0.34,,1,0,0,
HONTANAS,9159,22.5,7.04,,0,0,-3,
HONTANGAS,9160,0,7.44,,2,0,6,
HONTORIA DE LA CANTERA,9162,31.82,7.89,,11,0,9,
HONTORIA DEL PINAR,9163,18.69,7.96,,2,0,-2,
HONTORIA DE VALDEARADOS,9164,12.5,5.03,,2,0,1,
"HORMAZAS, LAS",9166,1.47,2.67,,1,0,3,
HORNILLOS DEL CAMINO,9167,11.86,3.97,,0,0,1,
"HORRA, LA",9168,7.6,10.4,,7,0,6,
HORTIGÜELA,9169,30.19,4.84,,4,0,8,
HOYALES DE ROA,9170,87.5,17.68,,3,0,-10,
HUERMECES,9172,9.56,3.36,,5,0,11,
HUERTA DE ARRIBA,9173,54.1,3.85,,1,0,4,
HUERTA DE REY,9174,15.89,9.28,,6,0,-2,
HUMADA,9175,19.81,1.44,,3,0,-2,
HURONES,9176,79,6.87,,0,0,-2,
IBEAS DE JUARROS,9177,21.36,11.03,49,11,186,-12,21572
IBRILLOS,9178,54,6.56,,1,0,-1,
IGLESIARRUBIA,9179,40,2.86,,1,0,1,
IGLESIAS,9180,7.41,4.22,,2,0,2,
ISAR,9181,16.46,4.38,,0,0,-1,
ITERO DEL CASTILLO,9182,15.63,4.84,,5,0,4,
JARAMILLO DE LA FUENTE,9183,0,1.94,,0,0,-1,
JARAMILLO QUEMADO,9184,80.33,0.57,,0,0,0,
JUNTA DE TRASLALOMA,9189,18.62,1.62,,5,0,-1,
JUNTA DE VILLALBA DE LOSA,9190,14.48,1.89,,3,10,-1,
JURISDICCION DE LARA,9191,4.17,1.23,,1,0,9,
JURISDICCION DE SAN ZADORNIL,9192,16.67,2,,1,0,4,
LERMA,9194,14.35,15.84,97,20,0,-19,18892
LLANO DE BUREBA,9195,13.83,3.48,,0,0,-2,
MADRIGAL DEL MONTE,9196,15.96,5.76,,1,0,-7,
MADRIGALEJO DEL MONTE,9197,2.31,7.11,,2,0,6,
MAHAMUD,9198,9.09,3.3,,2,0,0,
MAMBRILLA DE CASTREJON,9199,30.04,6.48,,1,0,7,
MAMBRILLAS DE LARA,9200,50,1.35,,2,0,1,
MAMOLAR,9201,54,1.47,,2,0,-1,
MANCILES,9202,70.5,3.34,,0,0,1,
MAZUELA,9206,5.77,4.39,,0,0,2,
MECERREYES,9208,32.55,3.28,,9,0,3,
MEDINA DE POMAR,9209,24.73,27.23,268,190,0,56,20371
MELGAR DE FERNAMENTAL,9211,17.54,14.29,33,19,54,5,16194
MERINDAD DE CUESTA-URRIA,9213,18.42,2.32,,12,0,-12,
MERINDAD DE MONTIJA,9214,12.24,7.29,,26,0,18,
MERINDAD DE SOTOSCUEVA,9215,22.25,2.66,,15,0,1,
MERINDAD DE VALDEPORRES,9216,18.13,3.58,,8,0,-6,
MERINDAD DE VALDIVIELSO,9217,22.13,2.99,,9,0,2,
MILAGROS,9218,9.41,19.88,,8,0,-5,
MIRANDA DE EBRO,9219,23.46,350.61,794,527,14387,-147,22756
MIRAVECHE,9220,6.44,3.74,,4,111,12,
MODUBAR DE LA EMPAREDADA,9221,11.62,65.36,,23,0,24,
MONASTERIO DE LA SIERRA,9223,6.25,6.79,,1,191,2,
MONASTERIO DE RODILLA,9224,12.17,4.41,,1,0,0,
MONCALVILLO,9225,97,3.1,,0,0,0,
MONTERRUBIO DE LA DEMANDA,9226,25,3.83,,1,0,0,
MONTORIO,9227,5.44,6.45,,7,2,4,
MORADILLO DE ROA,9228,11.31,11.8,,0,0,1,
NAVA DE ROA,9229,8.02,9.21,,4,0,1,
NAVAS DE BUREBA,9230,0,3.52,,0,0,-2,
NEBREDA,9231,13.83,1.79,,2,0,4,
NEILA,9232,28.67,2.09,,3,0,-3,
OLMEDILLO DE ROA,9235,21.88,7.29,,5,30,7,
OLMILLOS DE MUÑO,9236,0,5.11,,0,0,0,
OÑA,9238,26.26,6.23,20,7,110,19,17564
OQUILLAS,9239,47.17,3.2,,0,0,3,
ORBANEJA RIOPICO,9241,44.81,38,,5,0,-6,
PADILLA DE ABAJO,9242,0,2.7,,1,0,-4,
PADILLA DE ARRIBA,9243,19.25,3.71,,1,0,0,
PADRONES DE BUREBA,9244,86.6,2.21,,1,0,4,
PALACIOS DE LA SIERRA,9246,13.12,9.97,,4,0,16,
PALACIOS DE RIOPISUERGA,9247,90.17,2.12,,0,0,0,
PALAZUELOS DE LA SIERRA,9248,13.83,5.52,,1,0,4,
PALAZUELOS DE MUÑO,9249,5.5,6.09,,1,0,1,
PAMPLIEGA,9250,34.79,11.76,,6,0,0,
PANCORBO,9251,5.15,7.23,,7,0,0,
PARDILLA,9253,26.19,7.56,,0,0,4,
PARTIDO DE LA SIERRA EN TOBALINA,9255,7.2,2.81,,1,0,-1,
PEDROSA DE DUERO,9256,12.44,6.94,,11,0,13,
PEDROSA DEL PARAMO,9257,11.36,7.41,,1,0,5,
PEDROSA DEL PRINCIPE,9258,8.48,5.8,,2,0,8,
PEDROSA DE RIO URBEL,9259,11.66,5.13,,1,0,6,
PEÑARANDA DE DUERO,9261,26.33,7.91,,1,0,8,
PERAL DE ARLANZA,9262,6.5,6.02,,0,0,-2,
PIERNIGAS,9265,69.33,2.76,,0,0,7,
PINEDA DE LA SIERRA,9266,9.4,1.43,,2,0,3,
PINEDA TRASMONTE,9267,0,4.15,,1,0,-2,
PINILLA DE LOS BARRUECOS,9268,53.57,3.04,,1,43,-1,
PINILLA DE LOS MOROS,9269,91.5,3.63,,3,0,-1,
PINILLA TRASMONTE,9270,32.81,2.41,,3,0,8,
POZA DE LA SAL,9272,33.33,3.58,,10,0,-3,
PRADANOS DE BUREBA,9273,17.19,5.18,,1,0,0,
PRADOLUENGO,9274,19.17,3.66,35,19,40,-1,15578
PRESENCIO,9275,29.03,5.37,,4,0,11,
"PUEBLA DE ARGANZON, LA",9276,33.7,27.18,,11,0,10,
PUENTEDURA,9277,78.57,7.32,,2,0,1,
QUEMADA,9279,13.79,12.23,,6,0,16,
QUINTANABUREBA,9280,70.5,2.42,,0,0,3,
QUINTANA DEL PIDIO,9281,5.67,14.61,,5,0,-1,
QUINTANAELEZ,9283,86,2.46,,2,0,4,
QUINTANAORTUÑO,9287,7.77,49.19,,5,0,2,
QUINTANAPALLA,9288,5.15,7.37,,0,0,-5,
QUINTANAR DE LA SIERRA,9289,31.52,26.64,38,12,0,-9,15892
QUINTANAVIDES,9292,90.17,6.34,,1,0,-1,
QUINTANILLA DE LA MATA,9294,59.09,8.57,,0,0,0,
QUINTANILLA DEL COCO,9295,0,2.48,,1,0,3,
"QUINTANILLAS, LAS",9297,45.18,15.29,,10,0,7,
QUINTANILLA SAN GARCIA,9298,10.11,1.72,,1,0,-5,
