Municipio,Codigo_Postal,Tasa_paro,Densidad_población,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
ABAJAS,9001,0.03585640710627156,-0.17043228355635692,-0.10664561748486034,-0.10120964714980994,-0.05720342591558636,-0.10075944020373861,-0.0048269764506630826
ADRADA DE HAZA,9003,-0.14839505993301813,0.03770498510493787,-0.06246297782044878,-0.06352520406211476,-0.05720342591558636,-0.043249052025912414,-0.0048269764506630826
AGUAS CANDIDAS,9006,2.7549960697482123,-0.1444434970114079,-0.11553566409297547,-0.08613586991473186,-0.05720342591558636,0.24430288886321858,-0.004839775892193959
AGUILAR DE BUREBA,9007,2.073685262021149,-0.11731982895794583,-0.11553566409297547,-0.11628342438488802,-0.05720342591558636,-0.043249052025912414,-0.004839775892193959
ALBILLOS,9009,0.06408541033796407,0.02317850179597071,-0.0927604945216839,-0.10874653576734898,-0.05638638355657684,0.01426133615191378,-0.004762979242994733
ALCOCERO DE MOLA,9010,2.7549960697482123,-0.13479700418904694,-0.11553566409297547,-0.10874653576734898,-0.05720342591558636,0.1292821125075662,-0.004839775892193959
ALFOZ DE BRICIA,9011,0.27961766474210215,-0.1638499708069812,-0.09073867790177813,-0.06352520406211476,-0.05720342591558636,0.1292821125075662,-0.0048269764506630826
ALFOZ DE QUINTANADUEÑAS,9907,0.5287195446109556,0.4115349540091391,0.033127322664802346,0.04952812520097082,-0.04525418141507212,1.1069587115306116,3.673374135748998
ALFOZ DE SANTA GADEA,9012,0.3318794680223975,-0.14512442591651575,-0.10991620319353146,-0.08613586991473186,-0.052301171761529236,-0.1582698283815648,-0.004417394321609862
ALTABLE,9013,-0.30632488882383796,-0.11493657779006843,-0.09106573647264524,-0.11628342438488802,-0.05720342591558636,0.01426133615191378,-0.0048269764506630826
"ALTOS, LOS",9014,-0.5764077846081385,-0.16430392341038644,-0.08169996830690524,-0.07106209267965378,-0.05720342591558636,-0.6183529338041743,-0.0048269764506630826
AMEYUGO,9016,-0.9826765473345227,-0.07453479608700356,-0.045307269148601226,-0.10120964714980994,-0.05720342591558636,0.18679250068539238,-0.0048269764506630826
ANGUIX,9017,-0.9136299313218695,-0.04638973467587972,-0.03121401800396389,-0.08613586991473186,-0.05720342591558636,0.41683405339669716,-0.0048269764506630826
ARANDA DE DUERO,9018,-0.4623473526314353,2.7701591931518275,2.4236281497298693,3.644623995767092,0.11325203623277483,4.557582002200183,2.047845061067551
